group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
SmallRng,,,,,1741000.0,ns,610015
SmallRng,,,,,1854300.0,ns,1220030
SmallRng,,,,,2240800.0,ns,1830045
SmallRng,,,,,2938800.0,ns,2440060
SmallRng,,,,,3750600.0,ns,3050075
SmallRng,,,,,5037100.0,ns,3660090
SmallRng,,,,,7013400.0,ns,4270105
SmallRng,,,,,8891300.0,ns,4880120
SmallRng,,,,,8945900.0,ns,5490135
SmallRng,,,,,9509700.0,ns,6100150
SmallRng,,,,,11205000.0,ns,6710165
SmallRng,,,,,10309200.0,ns,7320180
SmallRng,,,,,10004600.0,ns,7930195
SmallRng,,,,,11166400.0,ns,8540210
SmallRng,,,,,13083600.0,ns,9150225
SmallRng,,,,,13220300.0,ns,9760240
SmallRng,,,,,16164200.0,ns,10370255
SmallRng,,,,,16216500.0,ns,10980270
SmallRng,,,,,16112000.0,ns,11590285
SmallRng,,,,,15018900.0,ns,12200300
SmallRng,,,,,20275900.0,ns,12810315
SmallRng,,,,,19882900.0,ns,13420330
SmallRng,,,,,17909000.0,ns,14030345
SmallRng,,,,,17998000.0,ns,14640360
SmallRng,,,,,20534700.0,ns,15250375
SmallRng,,,,,21550900.0,ns,15860390
SmallRng,,,,,20760700.0,ns,16470405
SmallRng,,,,,22623000.0,ns,17080420
SmallRng,,,,,23809400.0,ns,17690435
SmallRng,,,,,22718400.0,ns,18300450
SmallRng,,,,,26592100.0,ns,18910465
SmallRng,,,,,25155800.0,ns,19520480
SmallRng,,,,,28347500.0,ns,20130495
SmallRng,,,,,27536400.0,ns,20740510
SmallRng,,,,,27356100.0,ns,21350525
SmallRng,,,,,28462500.0,ns,21960540
SmallRng,,,,,33726200.0,ns,22570555
SmallRng,,,,,31435500.0,ns,23180570
SmallRng,,,,,29327400.0,ns,23790585
SmallRng,,,,,34186000.0,ns,24400600
SmallRng,,,,,33709200.0,ns,25010615
SmallRng,,,,,32256800.0,ns,25620630
SmallRng,,,,,34655400.0,ns,26230645
SmallRng,,,,,33839600.0,ns,26840660
SmallRng,,,,,43256000.0,ns,27450675
SmallRng,,,,,38246500.0,ns,28060690
SmallRng,,,,,36461600.0,ns,28670705
SmallRng,,,,,37524100.0,ns,29280720
SmallRng,,,,,39421400.0,ns,29890735
SmallRng,,,,,36879800.0,ns,30500750
SmallRng,,,,,45820200.0,ns,31110765
SmallRng,,,,,41537200.0,ns,31720780
SmallRng,,,,,39769800.0,ns,32330795
SmallRng,,,,,45301600.0,ns,32940810
SmallRng,,,,,41789100.0,ns,33550825
SmallRng,,,,,45519500.0,ns,34160840
SmallRng,,,,,43026300.0,ns,34770855
SmallRng,,,,,47431900.0,ns,35380870
SmallRng,,,,,44112100.0,ns,35990885
SmallRng,,,,,45719400.0,ns,36600900
SmallRng,,,,,49110000.0,ns,37210915
SmallRng,,,,,48634100.0,ns,37820930
SmallRng,,,,,51725500.0,ns,38430945
SmallRng,,,,,50268700.0,ns,39040960
SmallRng,,,,,53257700.0,ns,39650975
SmallRng,,,,,58690000.0,ns,40260990
SmallRng,,,,,86311700.0,ns,40871005
SmallRng,,,,,94580100.0,ns,41481020
SmallRng,,,,,96733600.0,ns,42091035
SmallRng,,,,,102167100.0,ns,42701050
SmallRng,,,,,100998900.0,ns,43311065
SmallRng,,,,,110536600.0,ns,43921080
SmallRng,,,,,100635100.0,ns,44531095
SmallRng,,,,,109064300.0,ns,45141110
SmallRng,,,,,111924800.0,ns,45751125
SmallRng,,,,,112492100.0,ns,46361140
SmallRng,,,,,115698200.0,ns,46971155
SmallRng,,,,,117220300.0,ns,47581170
SmallRng,,,,,118882200.0,ns,48191185
SmallRng,,,,,129650900.0,ns,48801200
SmallRng,,,,,91728300.0,ns,49411215
SmallRng,,,,,78410900.0,ns,50021230
SmallRng,,,,,74225000.0,ns,50631245
SmallRng,,,,,78067600.0,ns,51241260
SmallRng,,,,,81790500.0,ns,51851275
SmallRng,,,,,76451700.0,ns,52461290
SmallRng,,,,,75312300.0,ns,53071305
SmallRng,,,,,81186200.0,ns,53681320
SmallRng,,,,,82623400.0,ns,54291335
SmallRng,,,,,76805100.0,ns,54901350
SmallRng,,,,,71610100.0,ns,55511365
SmallRng,,,,,76780900.0,ns,56121380
SmallRng,,,,,78129500.0,ns,56731395
SmallRng,,,,,78165100.0,ns,57341410
SmallRng,,,,,77143000.0,ns,57951425
SmallRng,,,,,75899000.0,ns,58561440
SmallRng,,,,,77167900.0,ns,59171455
SmallRng,,,,,77371200.0,ns,59781470
SmallRng,,,,,75228500.0,ns,60391485
SmallRng,,,,,77430600.0,ns,61001500
