engine,algo,tier,mode,metric,count,ms,rate_per_s,checksum
UA,xoshiro256**,Scalar,batch,u64,2000000,4.7704,4.19252e+08,d81809347700d74d
UA,xoshiro256**,Scalar,single,u64,2000000,16.7309,1.19539e+08,2e38d5dcee3a408a
UA,xoshiro256**,Scalar,batch,double,2000000,5.3691,3.72502e+08,6b5983dcb9e0ff97
UA,xoshiro256**,Scalar,single,double,2000000,26.1202,7.65691e+07,5c647eda528fc691
UA,xoshiro256**,Scalar,batch,normal,2000000,41.7817,4.78678e+07,82fda28bd141d10b
UA,xoshiro256**,Scalar,single,normal,2000000,50.1746,3.98608e+07,561adf64ad97a4a2
UA,philox4x32-10,Scalar,batch,u64,2000000,13.3182,1.5017e+08,7d99c5e6907547a1
UA,philox4x32-10,Scalar,single,u64,2000000,24.5934,8.13226e+07,19b70c5e2d8e4676
UA,philox4x32-10,Scalar,batch,double,2000000,13.936,1.43513e+08,36c4e0d6b6f78722
UA,philox4x32-10,Scalar,single,double,2000000,34.3104,5.82914e+07,764e38260634a6d5
UA,philox4x32-10,Scalar,batch,normal,2000000,60.0048,3.33307e+07,c9b61ff92fd72f61
UA,philox4x32-10,Scalar,single,normal,2000000,67.5123,2.96242e+07,62fb779caa439116
UA,xoshiro256**,AVX2,batch,u64,2000000,2.482,8.05802e+08,83f9135745cd554
UA,xoshiro256**,AVX2,single,u64,2000000,13.3136,1.50222e+08,5526037dcecbfce1
UA,xoshiro256**,AVX2,batch,double,2000000,3.1861,6.27727e+08,740abbdd9f47d325
UA,xoshiro256**,AVX2,single,double,2000000,23.0062,8.69331e+07,e67129414da807d9
UA,xoshiro256**,AVX2,batch,normal,2000000,54.804,3.64937e+07,b6e71da0f9b38302
UA,xoshiro256**,AVX2,single,normal,2000000,49.7667,4.01875e+07,c3065e4c5747fc51
UA,philox4x32-10,AVX2,batch,u64,2000000,9.4904,2.10739e+08,7d99c5e6907547a1
UA,philox4x32-10,AVX2,single,u64,2000000,20.6443,9.6879e+07,19b70c5e2d8e4676
UA,philox4x32-10,AVX2,batch,double,2000000,10.3569,1.93108e+08,36c4e0d6b6f78722
UA,philox4x32-10,AVX2,single,double,2000000,30.3675,6.58599e+07,764e38260634a6d5
UA,philox4x32-10,AVX2,batch,normal,2000000,70.1383,2.85151e+07,ef3b3e928a36a66e
UA,philox4x32-10,AVX2,single,normal,2000000,64.538,3.09895e+07,62fb779caa439116
STD,mt19937_64,-,batch,u64,2000000,7.3184,2.73284e+08,ea4d133674669cf8
STD,mt19937_64,-,single,u64,2000000,7.4618,2.68032e+08,ea4d133674669cf8
STD,mt19937_64,-,batch,double,2000000,8.655,2.3108e+08,345195a6348071c1
STD,mt19937_64,-,single,double,2000000,9.0758,2.20366e+08,345195a6348071c1
STD,mt19937_64,-,batch,normal,2000000,30.7272,6.50889e+07,d37f9cc08fb4862
STD,mt19937_64,-,single,normal,2000000,36.9857,5.4075e+07,d37f9cc08fb4862
STD,mt19937,-,batch,u64,2000000,6.7702,2.95412e+08,983ecda8ebcf62da
STD,mt19937,-,single,u64,2000000,6.7307,2.97146e+08,983ecda8ebcf62da
STD,mt19937,-,batch,double,2000000,15.6121,1.28106e+08,3437dc297df1565a
STD,mt19937,-,single,double,2000000,15.7897,1.26665e+08,3437dc297df1565a
STD,mt19937,-,batch,normal,2000000,38.8949,5.14206e+07,955ff37caa914a47
STD,mt19937,-,single,normal,2000000,38.0716,5.25326e+07,955ff37caa914a47
STD,ranlux48,-,batch,u64,2000000,193.377,1.03425e+07,26aceb848bea68c8
STD,ranlux48,-,single,u64,2000000,190.681,1.04887e+07,26aceb848bea68c8
STD,ranlux48,-,batch,double,2000000,388.266,5.1511e+06,e6ab51479455217d
STD,ranlux48,-,single,double,2000000,372.431,5.37013e+06,e6ab51479455217d
STD,ranlux48,-,batch,normal,2000000,477.395,4.1894e+06,f5d69807b0126b98
STD,ranlux48,-,single,normal,2000000,489.706,4.08408e+06,f5d69807b0126b98
STD,minstd_rand,-,batch,u64,2000000,3.7304,5.36136e+08,e8dc1b624a0728a5
STD,minstd_rand,-,single,u64,2000000,3.7492,5.33447e+08,e8dc1b624a0728a5
STD,minstd_rand,-,batch,double,2000000,10.3149,1.93894e+08,c9027b1c1b867d7f
STD,minstd_rand,-,single,double,2000000,10.1451,1.9714e+08,c9027b1c1b867d7f
STD,minstd_rand,-,batch,normal,2000000,32.7245,6.11163e+07,c4f0563973662ddd
STD,minstd_rand,-,single,normal,2000000,32.9426,6.07117e+07,c4f0563973662ddd
